,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
323,CHINA PACIFIC INSURANCE GROUP (CPIC),304,46.98,China,2019,384.85 Billion CNY,2019,27.74 Billion CNY,"Financial Services, Insurance",111247,2021,Kong Qingwei,384.85,27.74,Billion CNY,Billion CNY
324,SHOPIFY,305,46.91,Canada,2020,929 Million USD,2020,319 Million USD,"Technology, Software and IT, Software Products, Cloud Services, eCommerce, Internet or Mobile App Based Business",7000,2021,Tobias Lutke,929.0,319.0,Million USD,Million USD
325,AMERICAN ELECTRIC POWER COMPANY,306,46.83,USA,2019,561 Million USD,2019,921 Million USD,"Utilities, Electricity Generation, Electric Utilities, Utilities, Power Generation",16787,2020,Nick Akins,561.0,921.0,Million USD,Million USD
326,INTESA SANPAOLO,307,46.65,Italy,2019,31.71 Billion EUR,2019,4.18 Billion EUR,"Financial Services, Banking Services",105615,2020,Carlo Messina,31.71,4.18,Billion EUR,Billion EUR
327,JARDINE MATHESON HOLDINGS,308,46.58,Bermuda,2019,40.92 Billion USD,2019,2.83 Billion USD,"Industries, Conglomerate, Automobile, Real Estate, Financial Services, Insurance, Hotels, Shipping, Travel and Transport, Restaurants, Retail, Infrastructure",403000,2022,Benjamin William Keswick,40.92,2.83,Billion USD,Billion USD
328,KIMBERLY-CLARK CORPORATION,309,46.56,USA,2019,450 Million USD,2019,157 Million USD,"Consumer Defensive, FMCG, Personal Care Products, Consumer Durables",45000,2021,Michael D. Hsu,450.0,157.0,Million USD,Million USD
329,THE BANK OF NEW YORK MELLON CORPORATION,310,46.5,USA,2019,009 Million USD,2019,441 Million USD,"Financial Services, Banking Services, Wealth Management, Asset Management",48500,2020,Thomas P Gibbons,9.0,441.0,Million USD,Million USD
330,UBS GROUP AG,311,46.42,Switzerland,2019,28.94 Billion USD,2019,4.30 Billion USD,"Financial Services, Banking Services, Asset Management",71551,2021,Ralph Hamers,28.94,4.3,Billion USD,Billion USD
331,PING AN BANK,312,45.83,China,2019,137.98 Billion CNY,2019,28.19 Billion CNY,"Financial Services, Banking Services",38600,2016,XIE Yonglin,137.98,28.19,Billion CNY,Billion CNY
332,BUDWEISER BREWING COMPANY APAC,313,45.62,Hong Kong,2019,619 Million USD,2019,235 Million USD,"Consumer Defensive, Beverages, Alcoholic Beverages, FMCG, Beer",28546,2019,Jan Craps,619.0,235.0,Million USD,Million USD
333,SANDS CHINA,314,45.57,Macao,2019,808 Million USD,2019,033 Million USD,"Consumer Cyclical, Real Estate, Casinos, Hotels, Entertainment",26186,2020,Robert Glen Goldstein,808.0,33.0,Million USD,Million USD
334,MOODY'S CORPORATION,315,45.2,USA,2019,829 Million USD,2019,422 Million USD,"Financial Services, Consulting Services, Investments, Stock Markets, Trading, Capital Markets",13023,2021,Raymond W. McDaniel Jr,829.0,422.0,Million USD,Million USD
335,COMPAGNIE FINANCIERE RICHEMONT SA,316,45.1,Switzerland,2020,238 Million EUR,2020,933 Million EUR,"Consumer Cyclical, Luxury Goods, Watches, Leather Products, Clothing, Readymade Clothing, Pens & Stationery, Consumer Goods, Fashion and Luxury Goods",34760,2021,Jerome Lambert,238.0,933.0,Million EUR,Million EUR
336,ACTIVISION BLIZZARD,317,45.06,USA,2019,489 Million USD,2019,503 Million USD,"Communication Services, Software and IT, Software Products, Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Entertainment, Technology",9500,2020,Bobby Kotick,489.0,503.0,Million USD,Million USD
337,ORIENTAL LAND,318,45.01,Japan,2019,525.6 Billion JPY,2019,90.2 Billion JPY,"Consumer Cyclical, Travel and Transport, Tourism, Entertainment, Leisure",8034,2021,Toshio Kagami,525.6,90.2,Billion JPY,Billion JPY
338,ANALOG DEVICES,319,44.98,USA,2019,991 Million USD,2019,359 Million USD,"Technology, Electronics, Semiconductors, Power Systems, Power Generation",24700,2021,Vincent Roche,991.0,359.0,Million USD,Million USD
339,FIRST ABU DHABI BANK,320,44.92,UAE,2019,5.5 Billion USD,2019,359 Million USD,"Banking Services, Financial Services",5451,2021,Hana Al Rostamani,5.5,359.0,Billion USD,Million USD
340,PUBLIC STORAGE,321,44.92,USA,2019,847 Million USD,2019,272 Million USD,"Real Estate, Property Investments, Consumer Services, Investments",5400,2020,Joseph D. Russell Jr,847.0,272.0,Million USD,Million USD
341,SHIN-ETSU CHEMICAL,322,44.91,Japan,2019,594 Billion JPY,2019,309.1 Billion JPY,"Basic Materials, Chemicals",24069,2021,Yasuhiko Saito,594.0,309.1,Billion JPY,Billion JPY
342,BCE (Bell Canada Enterprises),323,44.83,Canada,2019,23.96 Billion CAD,2019,3.19 Billion CAD,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Radio Broadcasting, Media, Utilities, Telecom Equipment, Advertising, Broadcasting",52100,2019,Mirko Bibic,23.96,3.19,Billion CAD,Billion CAD
343,KOTAK MAHINDRA BANK,324,44.7,India,2020,502.99 Billion INR,2020,86.07 Billion INR,"Financial Services, Banking Services",71000,2021,Uday Kotak,502.99,86.07,Billion INR,Billion INR
344,SUN HUNG KAI PROPERTIES,325,44.64,Hong Kong,2020,653 Million HKD,2020,521 Million HKD,"Real Estate, Infrastructure, Construction, Property Investments, Conglomerate, Construction, Investments",39500,2021,Raymond Kwok,653.0,521.0,Million HKD,Million HKD
345,AL RAJHI BANKING AND INVESTMENT CORPORATION,326,44.42,Saudi Arabia,2019,19.46 Billion SAR,2019,159 Million SAR,"Financial Services, Banking Services",13716,2021,Waleed A. Al-Mogbel,19.46,159.0,Billion SAR,Million SAR
346,KPMG,326,44.42,Netherlands,2019,29.75 Billion USD,2019,159 Million SAR,"Professional Services, Consulting Services, Business Services, Accounting and Auditing",219281,2019,Bob van Dijk,29.75,159.0,Billion USD,Million SAR
347,EXELON CORPORATION,327,44.41,USA,2019,438 Million USD,2019,936 Million USD,"Utilities, Electricity Generation, Energy, Nuclear Power, Renewable Energy, Solar Power, Wind Power, Electric Utilities, Power Generation",32340,2020,Christopher M. Crane,438.0,936.0,Million USD,Million USD
348,L3HARRIS TECHNOLOGIES,328,44.41,USA,2019,856 Million USD,2019,333 Million USD,"Industries, Electronics, Technology Hardware and Instruments, Communications Equipment, Networking Products / Solutions, Automation, Robotics, Marine Systems, Space Products, Technology, Machinery Manufacturing, Capital Goods, Manufacturing, Aerospace and Defense",48000,2020,Chris Kubasik,856.0,333.0,Million USD,Million USD
349,LAM RESEARCH CORPORATION,329,44.35,USA,2020,044 Million USD,2020,251 Million USD,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Processors / Chips",14100,2021,Timothy M. Archer,44.0,251.0,Million USD,Million USD
350,ANHUI CONCH CEMENT COMPANY,330,44.33,China,2019,157.03 Billion CNY,2019,33.59 Billion CNY,"Basic Materials, Cement, Construction Materials",47486,2021,Bin Wu,157.03,33.59,Billion CNY,Billion CNY
351,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,331,44.28,China,2019,57.66 Billion CNY,2019,12.41 Billion CNY,"Technology, Electronics, Cameras & Accessories, Network Hardware and Software, Networking Products / Solutions, Video Making Products, Computers Hardware",42685,2021,Hongjia Gong,57.66,12.41,Billion CNY,Billion CNY
352,PHILIPS,332,44.28,Netherlands,2019,481 Million EUR,2019,167 Million EUR,"Healthcare, Electronics, Medical Equipment, Lighting Products, Audio & Video Systems, Energy, Consumer Electronics, Technology, Health Care Diagnostics",81592,2021,Frans van Houten,481.0,167.0,Million EUR,Million EUR
353,INVESTOR AB (PUBL),333,44.0,Sweden,2019,141.6 Billion SEK,2019,101.2 Billion SEK,"Financial Services, Investments, Asset Management",20054,2021,Johan Forssell,141.6,101.2,Billion SEK,Billion SEK
354,PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA),334,43.85,China,2019,529.57 Billion CNY,2019,22.13 Billion CNY,"Financial Services, Insurance",198951,2019,Jianjun Zhang,529.57,22.13,Billion CNY,Billion CNY
355,INFOSYS,335,43.8,India,2020,907.91 Billion INR,2020,166.39 Billion INR,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Artificial Intelligence, Cloud Services, Internet of Things, Automation, Robotics, Consulting Services, Outsourcing and Staffing",314015,2022,Salil Parekh,907.91,166.39,Billion INR,Billion INR
356,CHINA OVERSEAS LAND AND INVESTMENT,336,43.73,Hong Kong,2019,163.6 Million CNY,2019,41.6 Million CNY,"Real Estate, Construction, Property Investments, Infrastructure, Construction, Investments",6200,2019,Zhang Zhichao,163.6,41.6,Million CNY,Million CNY
357,ORSTED A/S,337,43.38,Denmark,2019,59.9 Billion DKK,2019,6.5 Billion DKK,"Utilities, Electricity Generation, Power Generation, Energy, Electric Utilities, Renewable Energy",6429,2020,Mads Nipper,59.9,6.5,Billion DKK,Billion DKK
358,SYSCO CORPORATION,338,43.38,USA,2020,893 Million USD,2020,215 Million USD,"Consumer Defensive, Food Products, Food Service, Retail, Consumer Non Durables, Food Chains / Distributor",58000,2021,Kevin Hourican,893.0,215.0,Million USD,Million USD
359,DAIICHI SANKYO COMPANY,339,43.3,Japan,2019,929.7 Billion JPY,2019,93.4 Billion JPY,"Healthcare, Pharmaceutical, Medical Equipment, HealthCare Products",16033,2021,Sunao Manabe,929.7,93.4,Billion JPY,Billion JPY
360,NATIONAL GRID TRANSCO,340,43.27,UK,2020,14540 Million GBP,2020,1265 Million GBP,"Utilities, Gas Utilities, Electric Utilities, Oil and Gas",23683,2021,John Pettigrew,14540.0,1265.0,Million GBP,Million GBP
361,BAXTER INTERNATIONAL,341,43.2,USA,2019,11.36 Billion USD,2019,1 Billion USD,"Healthcare, Medical Equipment, Pharmaceutical, HealthCare Products",50000,2020,Jose E. Almeida,11.36,1.0,Billion USD,Billion USD
362,BODEGAS ESMERALDA,342,43.08,Argentina,2020,159.6 Million USD,2020,13.86 Million USD,"Consumer Defensive, Beverages, Alcoholic Beverages, Wine",58250,2021,Bob van Dijk,159.6,13.86,Million USD,Million USD
363,PROGRESSIVE CORPORATION,343,43.01,USA,2019,997 Million USD,2019,970 Million USD,"Financial Services, Insurance",43326,2020,Tricia Griffith,997.0,970.0,Million USD,Million USD
364,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,344,42.93,Germany,2019,494 Million EUR,2019,724 Million EUR,"Financial Services, Insurance",39642,2021,Joachim Wenning,494.0,724.0,Million EUR,Million EUR
365,DASSAULT SYSTEMES,345,42.9,France,2019,018 Million EUR,2019,615 Million EUR,"Technology, Technology Hardware and Instruments, Software and IT, Software Products",19789,2020,Bernard Charles,18.0,615.0,Million EUR,Million EUR
366,PTT PUBLIC COMPANY,346,42.9,Thailand,2019,219 Billion THB,2019,91.4 Billion THB,"Energy, Oil and Gas, Coal Mining, Natural Gas Generation, Petrochemicals",10875,2020,Auttapol Rerkpiboon,219.0,91.4,Billion THB,Billion THB
367,HONG KONG EXCHANGES AND CLEARING (HKEX),347,42.69,Hong Kong,2019,565 Million HKD,2019,391 Million HKD,"Financial Services, Stock Markets, Trading, Capital Markets, Trading",2372,2021,Li Xiaojia,565.0,391.0,Million HKD,Million HKD
368,SEMPRA ENERGY,348,42.65,USA,2019,829 Million USD,2019,055 Million USD,"Utilities, Electric Utilities, Gas Utilities, Oil and Gas",14706,2020,Jeffrey W. Martin,829.0,55.0,Million USD,Million USD
369,CREDIT AGRICOLE,349,42.59,France,2019,123 Million EUR,2019,257 Million EUR,"Financial Services, Banking Services",73037,2021,Philippe Brassac,123.0,257.0,Million EUR,Million EUR
370,CITIC SECURITIES COMPANY,350,42.49,China,2019,42.34 Billion CNY,2019,12.29 Billion CNY,"Financial Services, Banking Services, Asset Management, Wealth Management, Brokerage Services, Investments, Stock Markets, Trading, Capital Markets",11380,2021,Bob van Dijk,42.34,12.29,Billion CNY,Billion CNY
371,ROSS STORES,351,42.43,USA,2019,039 Million USD,2019,661 Million USD,"Consumer Cyclical, Retail, Consumer Services, Apparels and Accessories",93700,2021,Barbara Rentler,39.0,661.0,Million USD,Million USD
372,STATE BANK OF INDIA,352,42.41,India,2020,3622.29 Billion INR,2020,181.76 Billion INR,"Financial Services, Banking Services, Wealth Management, Asset Management, Insurance, Credit Cards",245642,2021,Vinay M Tonse,3622.29,181.76,Billion INR,Billion INR
373,HENKEL AG,353,42.23,Germany,2019,114 Million EUR,2019,085 Million EUR,"Consumer Defensive, Chemicals, Beauty and Personal Care, Personal Care Products, Home Cleaning Accessories, Adhesives, FMCG, Consumer Non Durables, Consumer Goods",52600,2020,Carsten Knobel,114.0,85.0,Million EUR,Million EUR
374,BARCLAYS PLC,354,42.11,UK,2019,632 Million GBP,2019,3354 Million GBP,"Financial Services, Banking Services, Wealth Management, Asset Management",83000,2021,C. S. Venkatakrishnan,632.0,3354.0,Million GBP,Million GBP
375,HON HAI PRECISION INDUSTRY,355,42.1,Taiwan,2019,342 Billion TWD,2019,115.3 Billion TWD,"Technology, Electronics, Processors / Chips, PCB, Capital Goods",601276,2019,Yang-wei Liu,342.0,115.3,Billion TWD,Billion TWD
376,FERRARI,356,42.03,Italy,2019,766 Million EUR,2019,695.8 Million EUR,"Consumer Cyclical, Automobile, Cars, Sports Vehicles, Capital Goods, Luxury Goods, Passenger Vehicles",4556,2021,Louis C. Camilleri,766.0,695.8,Million EUR,Million EUR
377,GLENCORE,357,42.02,Switzerland,2019,111 Million USD,2019,-404 Million USD,"Basic Materials, Metals, Mining, Trading, Commodities Trading",134878,2021,Gary Nagle,111.0,404.0,Million USD,Million USD
378,DAIKIN INDUSTRIES,358,41.68,Japan,2019,2481 Billion JPY,2019,189 Billion JPY,"Industries, Electronics, Electrical Products, Air Conditioners, Refrigerators, Home Appliances, Building Products and Equipment",80369,2020,Masanori Togawa,2481.0,189.0,Billion JPY,Billion JPY
379,IKEA,358,41.68,USA,2019,41.3 Billion EUR,2019,189 Billion JPY,"Retail, Furniture, Home & Furniture",211000,2019,Bob van Dijk,41.3,189.0,Billion EUR,Billion JPY
380,HITACHI,359,41.64,Japan,2019,9480 Billion JPY,2019,222.5 Billion JPY,"Industries, Electronics, Engineering Products, Machinery Manufacturing, Automobile Parts, Elevators, Escalators, Defense Products, Construction Equipment, Internet of Things, Infrastructure, Conglomerate, Consumer Electronics, Automobile, Technology",380714,2021,Toshiaki Higashihara,9480.0,222.5,Billion JPY,Billion JPY
381,ECOPETROL,360,41.54,Colombia,2019,488 Billion COP,2019,744 Billion COP,"Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Petroleum, Fuels, Lubricants, Chemicals",15000,2021,Felipe Bayon,488.0,744.0,Billion COP,Billion COP
382,REGENERON PHARMACEUTICALS,361,41.28,USA,2019,7.86 Billion USD,2019,2.11 Billion USD,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products, Technology",10368,2021,Leonard Schleifer,7.86,2.11,Billion USD,Billion USD
383,ITC,362,41.1,India,2019,483.53 Billion INR,2019,128.24 Billion INR,"Consumer Defensive, Tobacco Products, Cigarettes, Hotels, Food Products, Agriculture Products, FMCG, Tobacco and Cigarette",36500,2021,Sanjiv Puri,483.53,128.24,Billion INR,Billion INR
384,AUTODESK,363,41.07,USA,2019,274 Million USD,2019,214 Million USD,"Technology, Software and IT, Software Products",11500,2021,Andrew Anagnost,274.0,214.0,Million USD,Million USD
385,SINGAPORE TELECOMMUNICATIONS (SINGTEL),364,41.03,Singapore,2019,371 Million SGD,2019,094 Million SGD,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services",22892,2021,Kuan Moon Yuen,371.0,94.0,Million SGD,Million SGD
386,NIDEC CORPORATION,365,40.84,Japan,2019,1518 Billion JPY,2019,110.7 Billion JPY,"Industries, Electrical Products, Electronics, Industry Machinery",117356,2021,Jun Seki,1518.0,110.7,Billion JPY,Billion JPY
387,COMPASS GROUP,366,40.78,UK,2019,24878 Million GBP,2019,1118 Million GBP,"Consumer Cyclical, Food Service, Travel and Transport, Food Products, Consumer Services, Facility Support Services, Restaurants",478070,2021,Dominic Blakemore,24878.0,1118.0,Million GBP,Million GBP
388,HANG SENG BANK,367,40.77,Hong Kong,2019,348 Million HKD,2019,840 Million HKD,"Financial Services, Banking Services",10000,2018,Louisa Cheang Wai Wan,348.0,840.0,Million HKD,Million HKD
389,MITSUBISHI CORPORATION,368,40.69,Japan,2019,103 Billion JPY,2019,590 Billion JPY,"Industries, Chemicals, Energy, Financial Services, Oil and Gas, Petrochemicals, Metals, Automobile, Petroleum, Banking Services, Conglomerate, Mining",82997,2021,Takehiko Kakiuchi,103.0,590.0,Billion JPY,Billion JPY
390,KEURIG DR PEPPER,369,40.68,USA,2019,120 Million USD,2019,254 Million USD,"Consumer Defensive, Beverages, Coffee, Non-Alcoholic Beverages",10100,2020,Robert Gamgort,120.0,254.0,Million USD,Million USD
391,DOW Inc,370,40.43,USA,2019,951 Million USD,2019,359 Million USD,"Basic Materials, Chemicals, Paints and Coatings, Plastics / Plastic Products",35700,2021,Fitterling,951.0,359.0,Million USD,Million USD
392,CENTRAL JAPAN RAILWAY COMPANY,371,40.3,Japan,2020,844.6 Billion JPY,2020,397.8 Billion JPY,"Industries, Railway, Rail Transport, Railway Operating Company, Transportation",29603,2021,Hiroto Takeuchi,844.6,397.8,Billion JPY,Billion JPY
393,MANULIFE FINANCIAL CORPORATION,372,40.14,Canada,2019,77.82 Billion CAD,2019,5.26 Billion CAD,"Financial Services, Insurance, Asset Management",37000,2020,Roy Gori,77.82,5.26,Billion CAD,Billion CAD
394,MURATA MANUFACTURING,373,40.14,Japan,2020,534 Billion JPY,2020,397.8 Billion JPY,"Technology, Electronics, Sensors, Medical Equipment, Capital Goods",75184,2021,Tsuneo Murata,534.0,397.8,Billion JPY,Billion JPY
395,V.F. CORPORATION,374,40.03,USA,2020,488 Million USD,2020,679 Million USD,"Consumer Cyclical, Clothing, Readymade Clothing, Apparels and Accessories, Footwear, Consumer Non Durables, Textile",40000,2021,Steve Rendle,488.0,679.0,Million USD,Million USD
396,CHINA CITIC BANK CORPORATION,375,39.95,China,2019,187.48 Billion CNY,2019,48.01 Billion CNY,"Financial Services, Banking Services",59258,2021,Mingqiang BI,187.48,48.01,Billion CNY,Billion CNY
397,DIDI GLOBAL INC.,375,39.95,China,2019,9.5 Billion USD,2019,48.01 Billion CNY,"Technology, Ride Sharing, Rent / Lease Services, Artificial Intelligence, Internet of Things, Software and IT",15914,2020,Bob van Dijk,9.5,48.01,Billion USD,Billion CNY
398,DOLLAR GENERAL CORPORATION,376,39.94,USA,2020,753 Million USD,2020,712 Million USD,"Consumer Defensive, Retail, Consumer Services",158000,2021,Todd J Vasos,753.0,712.0,Million USD,Million USD
399,FEDEX CORPORATION,377,39.93,USA,2020,217 Million USD,2020,284 Million USD,"Industries, Courier, Logistics, Transportation, Consumer Services",289000,2021,Raj Subramaniam,217.0,284.0,Million USD,Million USD
400,ENGIE,378,39.78,France,2019,058 Million USD,2019,820 Million USD,"Utilities, Electricity Generation, Electric Utilities, Natural Gas Generation, Gas Utilities, Power Generation, Energy, Hydro-Electric Power, Nuclear Power, Wind Power, Petroleum",171000,2021,Catherine MacGregor,58.0,820.0,Million USD,Million USD
401,ANGLO AMERICAN,379,39.78,UK,2019,29870 Million USD,2019,4582 Million USD,"Basic Materials, Mining, Metals, Platinum, Iron and Steel, Nickel, Coal Mining, Copper Mining, Precious Metals",90000,2020,Mark Cutifani,29870.0,4582.0,Million USD,Million USD
402,JAPAN TOBACCO,380,39.7,Japan,2019,175.6 Billion JPY,2019,348.2 Billion JPY,"Consumer Defensive, Cigarettes, Tobacco Products, FMCG, Tobacco and Cigarette, Pharmaceutical, Food Products",58300,2021,Eddy Pirard,175.6,348.2,Billion JPY,Billion JPY
403,KAO CORPORATION,381,39.67,Japan,2019,502.2 Billion JPY,2019,148.2 Billion JPY,"Consumer Defensive, Chemicals, Cosmetics, FMCG, Personal Care Products, Consumer Goods",33603,2021,Yoshihiro Hasebe,502.2,148.2,Billion JPY,Billion JPY
404,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,382,39.56,China,2019,19.79 Billion CNY,2019,5.35 Billion CNY,"Consumer Defensive, Food Products, Beverages, FMCG, Food and Beverage, Package Foods",6058,2021,Pang Kang,19.79,5.35,Billion CNY,Billion CNY
405,TOKIO MARINE HOLDINGS,383,39.53,Japan,2020,5402 Billion JPY,2020,259.7 Billion JPY,"Financial Services, Insurance",41101,2020,Satoru Komiya,5402.0,259.7,Billion JPY,Billion JPY
406,PT BANK RAKYAT INDONESIA (PERSERO) TBK,384,39.5,Indonesia,2019,108468 Billion IDR,2019,34372 Billion IDR,"Financial Services, Banking Services",61531,2021,Bob van Dijk,108468.0,34372.0,Billion IDR,Billion IDR
407,SAIC MOTOR CORPORATION,385,39.49,China,2019,826.5 Billion CNY,2019,25.6 Billion CNY,"Consumer Cyclical, Automobile, Cars, Commercial Vehicles, Passenger Vehicles",204815,2021,Chen Hong,826.5,25.6,Billion CNY,Billion CNY
408,NATIONAL COMMERCIAL BANK,386,39.41,Saudi Arabia,2019,20.81 Billion SAR,2019,11.40 Billion SAR,"Financial Services, Banking Services",13334,2021,Faisal Omar al-Sakkaf,20.81,11.4,Billion SAR,Billion SAR
409,CITIC,387,39.41,China,2019,733.4 Billion HKD,2019,53.9 Billion HKD,"Industries, Investments, Financial Services, Energy, Conglomerate",135304,2020,Stanley Ching,733.4,53.9,Billion HKD,Billion HKD
410,NATWEST GROUP,388,39.39,UK,2019,985 Million GBP,2019,539 Million GBP,"Banking Services, Insurance, Financial Services",59900,2020,Alison Rose,985.0,539.0,Million GBP,Million GBP
411,KRAFT HEINZ COMPANY,389,39.37,USA,2019,977 Million USD,2019,935 Million USD,"Consumer Defensive, Food Products, Food Service, Non-Alcoholic Beverages, FMCG, Consumer Non Durables, Beverages, Package Foods",36000,2021,Miguel Patricio,977.0,935.0,Million USD,Million USD
412,EATON CORPORATION,390,39.31,Ireland,2019,390 Million USD,2019,211 Million USD,"Industries, Electrical Products, Technology Hardware and Instruments, Power Management Tools, Technology, Machinery Manufacturing, Power Generation, Manufacturing, Tools and Equipment, Industry Machinery, Electric Vehicle Charging Station",85947,2021,Craig Arnold,390.0,211.0,Million USD,Million USD
413,MARATHON PETROLEUM CORPORATION,391,39.3,USA,2019,949 Million USD,2019,636 Million USD,"Energy, Oil and Gas, Oil Refining, Petroleum, Petrochemicals, Chemicals",57900,2020,Michael J. Hennigan,949.0,636.0,Million USD,Million USD
414,ORANGE S.A,392,39.29,France,2019,42237 Million EUR,2019,2740 Million EUR,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Television Services, Internet Providers, Utilities, Broadcasting, Telecom Equipment",142150,2020,Stephane Richard,42237.0,2740.0,Million EUR,Million EUR
415,MIZUHO FINANCIAL GROUP,393,39.27,Japan,2020,1957 Billion JPY,2020,150.2 Billion JPY,"Financial Services, Banking Services",69801,2021,Tatsufumi Sakai,1957.0,150.2,Billion JPY,Billion JPY
416,CHINA MINSHENG BANKING,394,39.21,China,2019,180.4 Billion CNY,2019,53.8 Billion CNY,"Financial Services, Banking Services",59262,2021,Zheng Wanchun,180.4,53.8,Billion CNY,Billion CNY
417,AUDI AG,395,39.05,Germany,2019,678 Million EUR,2019,850 Million EUR,"Consumer Cyclical, Automobile, Cars, Passenger Vehicles",90640,2019,Markus Duesmann,678.0,850.0,Million EUR,Million EUR
418,VALERO ENERGY CORPORATION,396,38.95,USA,2019,324 Million USD,2019,415 Million USD,"Energy, Oil and Gas, Petrochemicals, Lubricants, Fuels, Natural Gas Generation, Power Generation, Chemicals",9964,2021,Joseph W. Gorder,324.0,415.0,Million USD,Million USD
419,WORKDAY,397,38.89,USA,2020,627 Million USD,2020,-481 Million USD,"Technology, Software and IT, Software Products, Artificial Intelligence",12500,2021,Chano Fernandez,627.0,481.0,Million USD,Million USD
420,AFLAC,398,38.79,USA,2019,223 Million USD,2019,304 Million USD,"Financial Services, Insurance",12447,2021,Dan Amos,223.0,304.0,Million USD,Million USD
421,NEWMONT CORPORATION,399,38.79,USA,2019,740 Million USD,2019,805 Million USD,"Basic Materials, Mining, Metals, Gold Mining, Precious Metals",14300,2020,Tom Palmer,740.0,805.0,Million USD,Million USD
422,JARDINE STRATEGIC HOLDINGS,400,38.78,Hong Kong,2019,32665 Million EUR,2019,1681 Million EUR,"Industries, Conglomerate, Automobile, Real Estate, Financial Services, Insurance, Hotels, Shipping, Travel and Transport, Restaurants, Retail, Infrastructure",464000,2019,David Hsu,32665.0,1681.0,Million EUR,Million EUR
423,CHINA TOWER CORPORATION,401,38.67,China,2019,76.4 Billion CNY,2019,5.22 Billion CNY,"Communication Services, Telecom, Infrastructure, Cell Towers Infrastructure",23300,2021,Tong Jilu,76.4,5.22,Billion CNY,Billion CNY
424,BANCO DO BRASIL,402,38.43,Brazil,2019,851 Million BRL,2019,512 Million BRL,"Financial Services, Banking Services",91673,2021,Andre Guilherme Brandao,851.0,512.0,Million BRL,Million BRL
425,BANCO BILBAO VIZCAYA ARGENTARIA,403,38.37,Spain,2019,24191 Million EUR,2019,3093 Million EUR,"Financial Services, Banking Services, Asset Management, Insurance",110432,2021,Onur Genc,24191.0,3093.0,Million EUR,Million EUR
426,CANADIAN NATURAL RESOURCES,404,38.3,Canada,2019,24.39 Billion CAD,2019,5.42 Billion CAD,"Energy, Oil and Gas, Natural Gas Generation, Petroleum",9709,2021,Tim S McKay,24.39,5.42,Billion CAD,Billion CAD
427,DELL TECHNOLOGIES,405,38.28,USA,2020,154 Million USD,2020,616 Million USD,"Technology, Laptops, Computers Hardware, Computers and Components, Mobiles, TV's, Software and IT, Network Hardware and Software",158000,2021,Michael S. Dell,154.0,616.0,Million USD,Million USD
428,JAPAN POST HOLDINGS,406,38.16,Japan,2020,11950 Billion JPY,2020,483.7 Billion JPY,"Financial Services, Banking Services",245472,2021,Hiroya Masuda,11950.0,483.7,Billion JPY,Billion JPY
429,DELTA AIR LINES,407,38.16,USA,2019,47 Billion USD,2019,4.76 Billion USD,"Industries, Airlines, Aviation, Transportation",83000,2021,Ed Bastian,47.0,4.76,Billion USD,Billion USD
430,OCCIDENTAL PETROLEUM CORPORATION,408,38.09,USA,2019,393 Million USD,2019,-985 Million USD,"Energy, Oil and Gas, Chemicals, Petrochemicals, Petroleum, Natural Gas Generation",11678,2021,Vicki Hollub,393.0,985.0,Million USD,Million USD
431,CHINA EVERGRANDE GROUP,409,37.89,China,2019,477561 Million CNY,2019,17280 Million CNY,"Real Estate, Property Investments, Construction, Investments",133000,2019,Xia Haijun,477561.0,17280.0,Million CNY,Million CNY
432,FRESENIUS SE,410,37.79,Germany,2019,850 Million EUR,2019,883 Million EUR,"Healthcare, Hospitals, HealthCare Products, Healthcare Service",311269,2020,Stephan Sturm,850.0,883.0,Million EUR,Million EUR
433,PRUDENTIAL FINANCIAL,411,37.78,USA,2019,807 Million USD,2019,140 Million USD,"Financial Services, Insurance, Asset Management",40916,2021,Charles F. Lowrey,807.0,140.0,Million USD,Million USD
434,ROPER TECHNOLOGIES,412,37.45,USA,2019,366 Million USD,2019,768 Million USD,"Industries, Engineering Products, Technology Hardware and Instruments, Electrical Products, Machinery Manufacturing, Capital Goods, Technology, Manufacturing, Industry Machinery",18400,2021,Neil Hunn,366.0,768.0,Million USD,Million USD
